journal,year,volume,issue,type,title,doi
Journal of Experimental Political Science,2021,8,3,Preregistered Report,How Affective Polarization Shapes Americans’ Political Beliefs: A Study of Response to the COVID-19 Pandemic,10.1017/XPS.2020.28
Journal of Experimental Political Science,2021,8,3,Research Article,Linguistic Assimilation Does Not Reduce Discrimination Against Immigrants: Evidence from Germany,10.1017/XPS.2020.20
Journal of Experimental Political Science,2021,8,3,Research Article,Tribalism in America: Behavioral Experiments on Affective Polarization in the Trump Era,10.1017/XPS.2020.29
Journal of Experimental Political Science,2021,8,3,Research Article,The Democracy of Dating: How Political Affiliations Shape Relationship Formation,10.1017/XPS.2020.21
Journal of Experimental Political Science,2021,8,3,Research Article,Women Want an Answer! Field Experiments on Elected Officials and Gender Bias,10.1017/XPS.2020.23
Journal of Experimental Political Science,2021,8,3,Research Article,The Effect of Geostrategic Competition on Public Attitudes to Aid,10.1017/XPS.2020.27
Journal of Experimental Political Science,2021,8,3,Research Article,"Getting the Message? Choice, Self-Selection, and the Efficacy of Social Movement Arguments",10.1017/XPS.2020.24
Journal of Experimental Political Science,2021,8,3,Research Article,How to Survey Citizens’ Compliance with COVID-19 Public Health Measures: Evidence from Three Survey Experiments,10.1017/XPS.2020.25
Journal of Experimental Political Science,2021,8,3,"Front Cover (OFC, IFC) and matter",XPS volume 8 issue 3 Cover and Front matter,10.1017/XPS.2021.30
Journal of Experimental Political Science,2021,8,3,"Back Cover (IBC, OBC) and matter",XPS volume 8 issue 3 Cover and Back matter,10.1017/XPS.2021.31
Journal of Experimental Political Science,2021,8,2,Preregistered Report,Messaging Mask Wearing During the COVID-19 Crisis: Ideological Differences,10.1017/XPS.2020.15
Journal of Experimental Political Science,2021,8,2,Research Article,Don’t @ Me: Experimentally Reducing Partisan Incivility on Twitter,10.1017/XPS.2020.14
Journal of Experimental Political Science,2021,8,2,Research Article,Can Social Pressure Foster Responsiveness? An Open Records Field Experiment with Mayoral Offices,10.1017/XPS.2020.22
Journal of Experimental Political Science,2021,8,2,Research Article,Political Accountability and Democratic Institutions: An Experimental Assessment,10.1017/XPS.2020.10
Journal of Experimental Political Science,2021,8,2,Research Article,The Effectiveness of a Neighbor-to-Neighbor Get-Out-the-Vote Program: Evidence from the 2017 Virginia State Elections,10.1017/XPS.2020.11
Journal of Experimental Political Science,2021,8,2,Research Article,When Do Voters Sanction Corrupt Politicians?,10.1017/XPS.2020.13
Journal of Experimental Political Science,2021,8,2,Research Article,Institutional Design and Elite Support for Climate Policies: Evidence from Latin American Countries,10.1017/XPS.2020.19
Journal of Experimental Political Science,2021,8,2,Research Article,Self-Administered Field Surveys on Sensitive Topics,10.1017/XPS.2020.12
Journal of Experimental Political Science,2021,8,2,Replications,The Costs of Conflict and Support for the Use of Force: Accounting for Information Equivalence in Survey Experiments,10.1017/XPS.2020.18
Journal of Experimental Political Science,2021,8,2,Short Report,Inferring Intentions from Consequences: How Moral Judgments Shape Citizen Perceptions of Wartime Conduct,10.1017/XPS.2020.7
Journal of Experimental Political Science,2021,8,2,Erratum,Don’t @ Me: Experimentally Reducing Partisan Incivility on Twitter – Erratum,10.1017/XPS.2020.31
Journal of Experimental Political Science,2021,8,2,Corrigendum,When Do Voters Sanction Corrupt Politicians? – Corrigendum,10.1017/XPS.2021.13
Journal of Experimental Political Science,2021,8,2,"Front Cover (OFC, IFC) and matter",XPS volume 8 issue 2 Cover and Front matter,10.1017/XPS.2021.19
Journal of Experimental Political Science,2021,8,2,"Back Cover (IBC, OBC) and matter",XPS volume 8 issue 2 Cover and Back matter,10.1017/XPS.2021.20
Journal of Experimental Political Science,2021,8,1,Research Article,Measuring Simultaneous Emotions: Existing Problems and a New Way Forward,10.1017/XPS.2019.35
