journal,year,volume,issue,type,title,doi
Journal of Experimental Political Science,2016,3,2,Research Article,Cooperating with the State: Evidence from Survey Experiments on Policing*,10.1017/XPS.2015.18
Journal of Experimental Political Science,2016,3,2,Research Article,Too Much an Out-Group? How Nonverbal Cues About Gender and Ethnicity Affect Candidate Support,10.1017/XPS.2015.15
Journal of Experimental Political Science,2016,3,2,Research Article,Experimental Evidence on the Relationship Between Candidate Funding Sources and Voter Evaluations,10.1017/XPS.2016.5
Journal of Experimental Political Science,2016,3,2,Research Article,Discussion Group Composition and Deliberation Experience,10.1017/XPS.2016.6
Journal of Experimental Political Science,2016,3,2,Research Article,Emotional Responses to Disturbing Political News: The Role of Personality*,10.1017/XPS.2015.22
Journal of Experimental Political Science,2016,3,2,Research Article,Committee Decisions under Majority Rule Revisited,10.1017/XPS.2015.16
Journal of Experimental Political Science,2016,3,2,Research Article,Pastors for Pinochet: Authoritarian Stereotypes and Voting for Evangelicals in Chile,10.1017/XPS.2015.17
Journal of Experimental Political Science,2016,3,2,Corrigendum,“Information Spillovers: Another Look at Experimental Estimates of Legislator Responsiveness”—CORRIGENDUM,10.1017/XPS.2016.8
Journal of Experimental Political Science,2016,3,2,"Front Cover (OFC, IFC) and matter",XPS volume 3 issue 2 Cover and Front matter,10.1017/XPS.2016.9
Journal of Experimental Political Science,2016,3,2,"Back Cover (IBC, OBC) and matter",XPS volume 3 issue 2 Cover and Back matter,10.1017/XPS.2016.10
Journal of Experimental Political Science,2016,3,1,Editor's Note,Continuity and Change at the Journal of Experimental Political Science,10.1017/XPS.2016.1
Journal of Experimental Political Science,2016,3,1,Research Article,Improving Electoral Integrity with Information and Communications Technology,10.1017/XPS.2015.14
Journal of Experimental Political Science,2016,3,1,Research Article,Electronic Voting and Perceptions of Election Fraud and Fairness,10.1017/XPS.2015.9
Journal of Experimental Political Science,2016,3,1,Research Article,Partisanship and Perceptions of Fairness: Ignoring the Facts,10.1017/XPS.2015.6
Journal of Experimental Political Science,2016,3,1,Research Article,Losing Hurts: The Happiness Impact of Partisan Electoral Loss,10.1017/XPS.2015.8
Journal of Experimental Political Science,2016,3,1,Research Article,Race and Responsiveness: An Experiment with South African Politicians*,10.1017/XPS.2015.10
Journal of Experimental Political Science,2016,3,1,Research Article,The Electoral Sweet Spot in the Lab,10.1017/XPS.2015.7
Journal of Experimental Political Science,2016,3,1,Research Article,Interactivity between Candidates and Citizens on a Social Networking Site: Effects on Perceptions and Vote Intentions,10.1017/XPS.2014.29
Journal of Experimental Political Science,2016,3,1,Research Article,Democratic Like Us? Political Orientation and the Effect of Making Democracy Salient on Anti-Israel Attitude,10.1017/XPS.2015.13
Journal of Experimental Political Science,2016,3,1,"Front Cover (OFC, IFC) and matter",XPS volume 3 issue 1 Cover and Front matter,10.1017/XPS.2016.2
Journal of Experimental Political Science,2016,3,1,"Back Cover (IBC, OBC) and matter",XPS volume 3 issue 1 Cover and Back matter,10.1017/XPS.2016.3
Journal of Experimental Political Science,2015,2,2,Editors' Note,Farewell to JEPS!,10.1017/XPS.2015.23
Journal of Experimental Political Science,2015,2,2,Research Article,The Generalizability of Survey Experiments*,10.1017/XPS.2015.19
Journal of Experimental Political Science,2015,2,2,Research Article,When Do Conflicting Parties Share Political Power?,10.1017/XPS.2015.2
Journal of Experimental Political Science,2015,2,2,Research Article,Do Better Committee Assignments Meaningfully Benefit Legislators? Evidence from a Randomized Experiment in the Arkansas State Legislature,10.1017/XPS.2014.30
Journal of Experimental Political Science,2015,2,2,Research Article,Foreign Aid and Government Legitimacy,10.1017/XPS.2014.31
Journal of Experimental Political Science,2015,2,2,Research Article,"It's a Mad, Mad World: Using Emotion Inductions in a Survey",10.1017/XPS.2015.5
Journal of Experimental Political Science,2015,2,2,Research Article,Encouraging Small Donor Contributions: A Field Experiment Testing the Effects of Nonpartisan Messages,10.1017/XPS.2015.1
Journal of Experimental Political Science,2015,2,2,Research Article,Standards for Experimental Research: Encouraging a Better Understanding of Experimental Methods,10.1017/XPS.2015.4
Journal of Experimental Political Science,2015,2,2,Response,"Reporting Balance Tables, Response Rates and Manipulation Checks in Experimental Research: A Reply from the Committee that Prepared the Reporting Guidelines",10.1017/XPS.2015.20
Journal of Experimental Political Science,2015,2,2,"Front Cover (OFC, IFC) and matter",XPS volume 2 issue 2 Cover and Front matter,10.1017/XPS.2015.24
Journal of Experimental Political Science,2015,2,2,"Back Cover (IBC, OBC) and matter",XPS volume 2 issue 2 Cover and Back matter,10.1017/XPS.2015.25
Journal of Experimental Political Science,2015,2,1,Research Article,Do African Voters Favor Coethnics? Evidence from a Survey Experiment in Benin,10.1017/XPS.2014.26
Journal of Experimental Political Science,2015,2,1,Research Article,How Does Media Choice Affect Hostile Media Perceptions? Evidence from Participant Preference Experiments,10.1017/xps.2014.10
Journal of Experimental Political Science,2015,2,1,Research Article,Does the Message Matter? A Field Experiment on Political Party Recruitment,10.1017/xps.2014.17
Journal of Experimental Political Science,2015,2,1,Research Article,Humanizing the Outgroup in Contexts of Protracted Intergroup Conflict,10.1017/xps.2014.20
Journal of Experimental Political Science,2015,2,1,Research Article,Social Identity and Voting in Afghanistan: Evidence from a Survey Experiment,10.1017/XPS.2014.28
Journal of Experimental Political Science,2015,2,1,Research Article,Attitudes to Moonlighting Politicians: Evidence from the United Kingdom,10.1017/XPS.2014.21
Journal of Experimental Political Science,2015,2,1,Research Article,Effects of Anti-Black Political Messages on Self-Esteem,10.1017/XPS.2014.27
Journal of Experimental Political Science,2015,2,1,Research Article,Displacing Misinformation about Events: An Experimental Test of Causal Corrections,10.1017/XPS.2014.22
Journal of Experimental Political Science,2015,2,1,Research Article,Individual versus Group Play in the Repeated Coordinated Resistance Game,10.1017/XPS.2015.3
Journal of Experimental Political Science,2015,2,1,"Front Cover (OFC, IFC) and matter",XPS volume 2 issue 1 Cover and Front matter,10.1017/xps.2015.11
Journal of Experimental Political Science,2015,2,1,"Back Cover (IBC, OBC) and matter",XPS volume 2 issue 1 Cover and Back matter,10.1017/xps.2015.12
Journal of Experimental Political Science,2014,1,2,Editorial,"Experiments, Journals, and Ethics",10.1017/xps.2014.23
Journal of Experimental Political Science,2014,1,2,Research Article,Mobilizing Candidates: Political Actors Strategically Shape the Candidate Pool with Personal Appeals,10.1017/xps.2014.3
Journal of Experimental Political Science,2014,1,2,Research Article,Is There a Cost to Convenience? An Experimental Comparison of Data Quality in Laboratory and Online Studies,10.1017/xps.2014.5
Journal of Experimental Political Science,2014,1,2,Research Article,Voters Don't Care Much About Incumbency,10.1017/xps.2014.6
Journal of Experimental Political Science,2014,1,2,Research Article,Partisan Bias in Blame Attribution: When Does it Occur?,10.1017/xps.2014.8
Journal of Experimental Political Science,2014,1,2,Research Article,Information Spillovers: Another Look at Experimental Estimates of Legislator Responsiveness,10.1017/xps.2014.9
Journal of Experimental Political Science,2014,1,2,Research Article,Ethnicity and Altruism After Violence: The Contact Hypothesis in Kosovo,10.1017/xps.2014.18
Journal of Experimental Political Science,2014,1,2,Research Article,An Experimental Study of Electoral Incentives and Institutional Choice,10.1017/xps.2014.19
Journal of Experimental Political Science,2014,1,2,"Front Cover (OFC, IFC) and matter",XPS volume 1 issue 2 Cover and Front matter,10.1017/xps.2014.24
Journal of Experimental Political Science,2014,1,2,"Back Cover (IBC, OBC) and matter",XPS volume 1 issue 2 Cover and Back matter,10.1017/xps.2014.25
Journal of Experimental Political Science,2014,1,1,Editorial,Welcome to JEPS!,10.1017/xps.2014.15
Journal of Experimental Political Science,2014,1,1,Research Article,Building Confidence in Elections: The Case of Electoral Monitors in Kosova,10.1017/xps.2013.1
Journal of Experimental Political Science,2014,1,1,Research Article,Full Transparency of Politicians' Actions Does Not Increase the Quality of Political Representation,10.1017/xps.2014.1
Journal of Experimental Political Science,2014,1,1,Research Article,Communication and Collective Actions: A Survey Experiment on Motivating Energy Conservation in the U.S.,10.1017/xps.2014.2
Journal of Experimental Political Science,2014,1,1,Research Article,Can More Be Less? An Experimental Test of the Resource Curse,10.1017/xps.2014.4
Journal of Experimental Political Science,2014,1,1,Research Article,Cross-Sample Comparisons and External Validity,10.1017/xps.2014.7
Journal of Experimental Political Science,2014,1,1,Research Article,Reporting Guidelines for Experimental Research: A Report from the Experimental Research Section Standards Committee,10.1017/xps.2014.11
Journal of Experimental Political Science,2014,1,1,"Front Cover (OFC, IFC) and matter",XPS volume 1 issue 1 Cover and Front matter,10.1017/xps.2014.13
Journal of Experimental Political Science,2014,1,1,"Back Cover (IBC, OBC) and matter",XPS volume 1 issue 1 Cover and Back matter,10.1017/xps.2014.14
